# time=2018-12-04T12:00:00Z
lon,lat,Name,ff,dd
0,9,"Station",0,0
0.5,9,"Station",0.5,0
1,9,"Station",1,0
1.5,9,"Station",1.5,0
2,9,"Station",2,0
2.5,9,"Station",2.5,0
3,9,"Station",3,0
3.5,9,"Station",3.5,0
4,9,"Station",4,0
4.5,9,"Station",4.5,0
5,9,"Station",5,0
5.5,9,"Station",5.5,0
6,9,"Station",6,0
6.5,9,"Station",6.5,0
7,9,"Station",7,0
7.5,9,"Station",7.5,0
8,9,"Station",8,0
8.5,9,"Station",8.5,0
9,9,"Station",9,0
9.5,9,"Station",9.5,0
10,9,"Station",10,0
10.5,9,"Station",10.5,0
11,9,"Station",11,0
11.5,9,"Station",11.5,0
12,9,"Station",12,0
12.5,9,"Station",12.5,0
13,9,"Station",13,0
14,9,"Station",14,0
15,9,"Station",15,0
16,9,"Station",16,0
17,9,"Station",17,0
18,9,"Station",18,0
19,9,"Station",19,0
20,9,"Station",20,0
21,9,"Station",21,0
21,9,"Station",21,0
22,9,"Station",22,0
23,9,"Station",23,0
24,9,"Station",24,0
25,9,"Station",25,0
26,9,"Station",26,0
27,9,"Station",27,0
28,9,"Station",28,0
29,9,"Station",29,0
30,9,"Station",30,0
31,9,"Station",100,0
0,5,"Station",0,40
0.5,5,"Station",0.5,40
1,5,"Station",1,40
2,5,"Station",2,40
3,5,"Station",3,40
4,5,"Station",4,40
5,5,"Station",5,40
6,5,"Station",6,40
7,5,"Station",7,40
8,5,"Station",8,40
9,5,"Station",9,40
10,5,"Station",10,40
11,5,"Station",11,40
12,5,"Station",12,40
13,5,"Station",13,40
14,5,"Station",14,40
15,5,"Station",15,40
16,5,"Station",16,40
17,5,"Station",17,40
18,5,"Station",18,40
19,5,"Station",19,40
20,5,"Station",20,40
21,5,"Station",21,40
21,5,"Station",21,40
22,5,"Station",22,40
23,5,"Station",23,40
24,5,"Station",24,40
25,5,"Station",25,40
26,5,"Station",26,40
27,5,"Station",27,40
28,5,"Station",28,40
29,5,"Station",29,40
30,5,"Station",30,40
0,1,"Station",0,200
0.5,1,"Station",0.5,200
1,1,"Station",1,200
2,1,"Station",2,200
3,1,"Station",3,200
4,1,"Station",4,200
5,1,"Station",5,200
6,1,"Station",6,200
7,1,"Station",7,200
8,1,"Station",8,200
9,1,"Station",9,200
10,1,"Station",10,200
11,1,"Station",11,200
12,1,"Station",12,200
13,1,"Station",13,200
14,1,"Station",14,200
15,1,"Station",15,200
16,1,"Station",16,200
17,1,"Station",17,200
18,1,"Station",18,200
19,1,"Station",19,200
20,1,"Station",20,200
21,1,"Station",21,200
21,1,"Station",21,200
22,1,"Station",22,200
23,1,"Station",23,200
24,1,"Station",24,200
25,1,"Station",25,200
26,1,"Station",26,200
27,1,"Station",27,200
28,1,"Station",28,200
29,1,"Station",29,200
30,1,"Station",30,200
0,-9,"Station",0,0
0.5,-9,"Station",0.5,0
1,-9,"Station",1,0
2,-9,"Station",2,0
3,-9,"Station",3,0
4,-9,"Station",4,0
5,-9,"Station",5,0
6,-9,"Station",6,0
7,-9,"Station",7,0
8,-9,"Station",8,0
9,-9,"Station",9,0
10,-9,"Station",10,0
11,-9,"Station",11,0
12,-9,"Station",12,0
13,-9,"Station",13,0
14,-9,"Station",14,0
15,-9,"Station",15,0
16,-9,"Station",16,0
17,-9,"Station",17,0
18,-9,"Station",18,0
19,-9,"Station",19,0
20,-9,"Station",20,0
21,-9,"Station",21,0
21,-9,"Station",21,0
22,-9,"Station",22,0
23,-9,"Station",23,0
24,-9,"Station",24,0
25,-9,"Station",25,0
26,-9,"Station",26,0
27,-9,"Station",27,0
28,-9,"Station",28,0
29,-9,"Station",29,0
30,-9,"Station",30,0
0,-5,"Station",0,40
0.5,-5,"Station",0.5,40
1,-5,"Station",1,40
2,-5,"Station",2,40
3,-5,"Station",3,40
4,-5,"Station",4,40
5,-5,"Station",5,40
6,-5,"Station",6,40
7,-5,"Station",7,40
8,-5,"Station",8,40
9,-5,"Station",9,40
10,-5,"Station",10,40
11,-5,"Station",11,40
12,-5,"Station",12,40
13,-5,"Station",13,40
14,-5,"Station",14,40
15,-5,"Station",15,40
16,-5,"Station",16,40
17,-5,"Station",17,40
18,-5,"Station",18,40
19,-5,"Station",19,40
20,-5,"Station",20,40
21,-5,"Station",21,40
21,-5,"Station",21,40
22,-5,"Station",22,40
23,-5,"Station",23,40
24,-5,"Station",24,40
25,-5,"Station",25,40
26,-5,"Station",26,40
27,-5,"Station",27,40
28,-5,"Station",28,40
29,-5,"Station",29,40
30,-5,"Station",30,40
0,-1,"Station",0,200
0.5,-1,"Station",0.5,200
1,-1,"Station",1,200
2,-1,"Station",2,200
3,-1,"Station",3,200
4,-1,"Station",4,200
5,-1,"Station",5,200
6,-1,"Station",6,200
7,-1,"Station",7,200
8,-1,"Station",8,200
9,-1,"Station",9,200
10,-1,"Station",10,200
11,-1,"Station",11,200
12,-1,"Station",12,200
13,-1,"Station",13,200
14,-1,"Station",14,200
15,-1,"Station",15,200
16,-1,"Station",16,200
17,-1,"Station",17,200
18,-1,"Station",18,200
19,-1,"Station",19,200
20,-1,"Station",20,200
21,-1,"Station",21,200
21,-1,"Station",21,200
22,-1,"Station",22,200
23,-1,"Station",23,200
24,-1,"Station",24,200
25,-1,"Station",25,200
26,-1,"Station",26,200
27,-1,"Station",27,200
28,-1,"Station",28,200
29,-1,"Station",29,200
30,-1,"Station",30,200
